,fl_date,number_flight,number_anormals,anormal
280,2010-10-08,296,0.0,0.0
281,2010-10-09,270,0.0,0.0
282,2010-10-10,292,0.0,0.0
283,2010-10-11,295,1.0,1.0
284,2010-10-12,285,0.0,0.0
285,2010-10-13,292,0.0,0.0
286,2010-10-14,295,1.0,1.0
287,2010-10-15,298,0.0,0.0
288,2010-10-16,269,0.0,0.0
289,2010-10-17,294,1.0,1.0
290,2010-10-18,295,0.0,0.0
291,2010-10-19,285,0.0,0.0
292,2010-10-20,290,0.0,0.0
293,2010-10-21,295,0.0,0.0
294,2010-10-22,298,0.0,0.0
295,2010-10-23,269,0.0,0.0
296,2010-10-24,294,1.0,1.0
297,2010-10-25,295,0.0,0.0
298,2010-10-26,269,3.0,1.0
299,2010-10-27,240,3.0,1.0
300,2010-10-28,293,1.0,1.0
301,2010-10-29,296,0.0,0.0
302,2010-10-30,267,2.0,1.0
303,2010-10-31,298,0.0,0.0
304,2010-11-01,290,1.0,1.0
305,2010-11-02,279,0.0,0.0
306,2010-11-03,283,0.0,0.0
307,2010-11-04,282,2.0,1.0
308,2010-11-05,294,1.0,1.0
309,2010-11-06,266,0.0,0.0
310,2010-11-07,299,0.0,0.0
311,2010-11-08,292,0.0,0.0
312,2010-11-09,278,0.0,0.0
313,2010-11-10,283,0.0,0.0
314,2010-11-11,296,0.0,0.0
315,2010-11-12,297,0.0,0.0
316,2010-11-13,263,0.0,0.0
317,2010-11-14,297,1.0,1.0
318,2010-11-15,296,0.0,0.0
319,2010-11-16,277,0.0,0.0
320,2010-11-17,284,0.0,0.0
321,2010-11-18,306,0.0,0.0
322,2010-11-19,306,0.0,0.0
323,2010-11-20,290,0.0,0.0
324,2010-11-21,310,0.0,0.0
325,2010-11-22,316,0.0,0.0
326,2010-11-23,315,0.0,0.0
327,2010-11-24,316,0.0,0.0
328,2010-11-25,236,0.0,0.0
329,2010-11-26,281,0.0,0.0
330,2010-11-27,306,1.0,1.0
331,2010-11-28,316,0.0,0.0
332,2010-11-29,313,0.0,0.0
333,2010-11-30,296,1.0,1.0
334,2010-12-01,224,3.0,1.0
335,2010-12-02,302,0.0,0.0
336,2010-12-03,303,0.0,0.0
337,2010-12-04,267,0.0,0.0
338,2010-12-05,302,1.0,1.0
339,2010-12-06,295,1.0,1.0
340,2010-12-07,279,2.0,1.0
341,2010-12-08,288,0.0,0.0
342,2010-12-09,300,0.0,0.0
343,2010-12-10,306,0.0,0.0
344,2010-12-11,261,1.0,1.0
345,2010-12-12,233,4.0,1.0
346,2010-12-13,286,6.0,1.0
347,2010-12-14,282,1.0,1.0
348,2010-12-15,291,0.0,0.0
349,2010-12-16,311,0.0,0.0
350,2010-12-17,317,2.0,1.0
351,2010-12-18,310,1.0,1.0
352,2010-12-19,318,0.0,0.0
353,2010-12-20,324,2.0,1.0
354,2010-12-21,320,1.0,1.0
355,2010-12-22,322,1.0,1.0
356,2010-12-23,323,2.0,1.0
357,2010-12-24,300,0.0,0.0
358,2010-12-25,296,1.0,1.0
359,2010-12-26,135,1.0,1.0
360,2010-12-27,3,0.0,0.0
361,2010-12-28,111,0.0,0.0
362,2010-12-29,266,7.0,1.0
363,2010-12-30,309,6.0,1.0
364,2010-12-31,286,0.0,0.0
