,fl_date,number_flight,number_anormals,anormal
286,2010-10-14,336,2.0,1.0
287,2010-10-15,330,1.0,1.0
288,2010-10-16,240,1.0,1.0
289,2010-10-17,299,0.0,0.0
290,2010-10-18,337,0.0,0.0
291,2010-10-19,327,0.0,0.0
292,2010-10-20,331,0.0,0.0
293,2010-10-21,336,0.0,0.0
294,2010-10-22,337,2.0,1.0
295,2010-10-23,239,0.0,0.0
296,2010-10-24,299,1.0,1.0
297,2010-10-25,337,0.0,0.0
298,2010-10-26,320,3.0,1.0
299,2010-10-27,319,1.0,1.0
300,2010-10-28,334,1.0,1.0
301,2010-10-29,340,2.0,1.0
302,2010-10-30,241,1.0,1.0
303,2010-10-31,298,0.0,0.0
304,2010-11-01,343,1.0,1.0
305,2010-11-02,334,0.0,0.0
306,2010-11-03,339,0.0,0.0
307,2010-11-04,335,0.0,0.0
308,2010-11-05,344,0.0,0.0
309,2010-11-06,229,0.0,0.0
310,2010-11-07,299,0.0,0.0
311,2010-11-08,318,1.0,1.0
312,2010-11-09,333,1.0,1.0
313,2010-11-10,337,0.0,0.0
314,2010-11-11,343,0.0,0.0
315,2010-11-12,342,0.0,0.0
316,2010-11-13,227,0.0,0.0
317,2010-11-14,299,3.0,1.0
318,2010-11-15,340,0.0,0.0
319,2010-11-16,335,0.0,0.0
320,2010-11-17,330,1.0,1.0
321,2010-11-18,345,0.0,0.0
322,2010-11-19,351,0.0,0.0
323,2010-11-20,244,0.0,0.0
324,2010-11-21,298,1.0,1.0
325,2010-11-22,342,0.0,0.0
326,2010-11-23,351,0.0,0.0
327,2010-11-24,345,0.0,0.0
328,2010-11-25,214,0.0,0.0
329,2010-11-26,247,0.0,0.0
330,2010-11-27,275,1.0,1.0
331,2010-11-28,334,0.0,0.0
332,2010-11-29,355,0.0,0.0
333,2010-11-30,336,1.0,1.0
334,2010-12-01,300,4.0,1.0
335,2010-12-02,344,0.0,0.0
336,2010-12-03,342,1.0,1.0
337,2010-12-04,218,0.0,0.0
338,2010-12-05,297,0.0,0.0
339,2010-12-06,337,2.0,1.0
340,2010-12-07,324,0.0,0.0
341,2010-12-08,330,0.0,0.0
342,2010-12-09,341,0.0,0.0
343,2010-12-10,341,1.0,1.0
344,2010-12-11,213,0.0,0.0
345,2010-12-12,237,4.0,1.0
346,2010-12-13,332,1.0,1.0
347,2010-12-14,320,0.0,0.0
348,2010-12-15,323,0.0,0.0
349,2010-12-16,312,0.0,0.0
350,2010-12-17,319,1.0,1.0
351,2010-12-18,244,1.0,1.0
352,2010-12-19,276,0.0,0.0
353,2010-12-20,305,3.0,1.0
354,2010-12-21,310,0.0,0.0
355,2010-12-22,316,0.0,0.0
356,2010-12-23,314,3.0,1.0
357,2010-12-24,254,0.0,0.0
358,2010-12-25,225,0.0,0.0
359,2010-12-26,168,3.0,1.0
360,2010-12-27,55,2.0,1.0
361,2010-12-28,242,6.0,1.0
362,2010-12-29,282,6.0,1.0
363,2010-12-30,287,6.0,1.0
364,2010-12-31,257,2.0,1.0
