,Unnamed: 0,origin,fl_date,dep_delay,delay,dep_delay_avg,score,mean,std,anormal_day
21260,4604950,CMH,2010-09-21,-7.0,0.0,1.0506329113924051,2.3207065685,1.9613458721101262,0.4869642172603827,0
21261,4605033,CMH,2010-09-21,-5.0,0.0,1.0506329113924051,2.1614692636,1.9613458721101262,0.4869642172603827,0
21262,4605039,CMH,2010-09-21,-8.0,0.0,1.0506329113924051,2.3900193104,1.9613458721101262,0.4869642172603827,0
21263,4605733,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21264,4606036,CMH,2010-09-22,15.0,15.0,9.8625,0.917754328,1.646217979599999,0.6439050698813163,0
21265,4606060,CMH,2010-09-22,5.0,5.0,9.8625,0.928464815,1.646217979599999,0.6439050698813163,0
21266,4606067,CMH,2010-09-22,45.0,45.0,9.8625,1.1264532024,1.646217979599999,0.6439050698813163,0
21267,4606071,CMH,2010-09-22,0.0,0.0,9.8625,0.6283725781,1.646217979599999,0.6439050698813163,0
21268,4606073,CMH,2010-09-22,235.0,235.0,9.8625,3.6393587331,1.646217979599999,0.6439050698813163,1
21269,4606083,CMH,2010-09-22,-4.0,0.0,9.8625,2.0670473265,1.646217979599999,0.6439050698813163,0
21270,4606096,CMH,2010-09-22,84.0,84.0,9.8625,1.3870986828,1.646217979599999,0.6439050698813163,0
21271,4606105,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21272,4606141,CMH,2010-09-22,-2.0,0.0,9.8625,1.8232503824,1.646217979599999,0.6439050698813163,0
21273,4606194,CMH,2010-09-22,3.0,3.0,9.8625,0.9121043305,1.646217979599999,0.6439050698813163,0
21274,4606311,CMH,2010-09-22,-8.0,0.0,9.8625,2.3900193104,1.646217979599999,0.6439050698813163,0
21275,4606319,CMH,2010-09-22,34.0,34.0,9.8625,1.026857156,1.646217979599999,0.6439050698813163,0
21276,4606327,CMH,2010-09-22,-9.0,0.0,9.8625,2.454261443,1.646217979599999,0.6439050698813163,0
21277,4606336,CMH,2010-09-22,-8.0,0.0,9.8625,2.3900193104,1.646217979599999,0.6439050698813163,0
21278,4606339,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21279,4606344,CMH,2010-09-22,-4.0,0.0,9.8625,2.0670473265,1.646217979599999,0.6439050698813163,0
21280,4606347,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21281,4606436,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21282,4606670,CMH,2010-09-22,0.0,0.0,9.8625,0.6283725781,1.646217979599999,0.6439050698813163,0
21283,4606705,CMH,2010-09-22,32.0,32.0,9.8625,1.0115947658,1.646217979599999,0.6439050698813163,0
21284,4607822,CMH,2010-09-22,10.0,10.0,9.8625,0.9132279687,1.646217979599999,0.6439050698813163,0
21285,4607871,CMH,2010-09-22,37.0,37.0,9.8625,1.0640406244,1.646217979599999,0.6439050698813163,0
21286,4608890,CMH,2010-09-22,52.0,52.0,9.8625,1.1965857482,1.646217979599999,0.6439050698813163,0
21287,4609113,CMH,2010-09-22,-7.0,0.0,9.8625,2.3207065685,1.646217979599999,0.6439050698813163,0
21288,4609877,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21289,4609878,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21290,4611192,CMH,2010-09-22,29.0,29.0,9.8625,0.949033291,1.646217979599999,0.6439050698813163,0
21291,4611193,CMH,2010-09-22,5.0,5.0,9.8625,0.928464815,1.646217979599999,0.6439050698813163,0
21292,4611194,CMH,2010-09-22,16.0,16.0,9.8625,0.9107827529,1.646217979599999,0.6439050698813163,0
21293,4611195,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21294,4611196,CMH,2010-09-22,21.0,21.0,9.8625,0.9931343043,1.646217979599999,0.6439050698813163,0
21295,4611197,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21296,4611198,CMH,2010-09-22,-1.0,0.0,9.8625,1.6443095196,1.646217979599999,0.6439050698813163,0
21297,4611199,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21298,4611200,CMH,2010-09-22,26.0,26.0,9.8625,0.964189903,1.646217979599999,0.6439050698813163,0
21299,4611201,CMH,2010-09-22,3.0,3.0,9.8625,0.9121043305,1.646217979599999,0.6439050698813163,0
21300,4611202,CMH,2010-09-22,-2.0,0.0,9.8625,1.8232503824,1.646217979599999,0.6439050698813163,0
21301,4611203,CMH,2010-09-22,-4.0,0.0,9.8625,2.0670473265,1.646217979599999,0.6439050698813163,0
21302,4611204,CMH,2010-09-22,1.0,1.0,9.8625,0.9019437343,1.646217979599999,0.6439050698813163,0
21303,4611205,CMH,2010-09-22,6.0,6.0,9.8625,0.9323924539,1.646217979599999,0.6439050698813163,0
21304,4611206,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21305,4611207,CMH,2010-09-22,0.0,0.0,9.8625,0.6283725781,1.646217979599999,0.6439050698813163,0
21306,4611208,CMH,2010-09-22,36.0,36.0,9.8625,1.0740593342,1.646217979599999,0.6439050698813163,0
21307,4611209,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21308,4611210,CMH,2010-09-22,1.0,1.0,9.8625,0.9019437343,1.646217979599999,0.6439050698813163,0
21309,4611211,CMH,2010-09-22,-4.0,0.0,9.8625,2.0670473265,1.646217979599999,0.6439050698813163,0
21310,4611212,CMH,2010-09-22,36.0,36.0,9.8625,1.0740593342,1.646217979599999,0.6439050698813163,0
21311,4611213,CMH,2010-09-22,-1.0,0.0,9.8625,1.6443095196,1.646217979599999,0.6439050698813163,0
21312,4611214,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21313,4613972,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21314,4614298,CMH,2010-09-22,-8.0,0.0,9.8625,2.3900193104,1.646217979599999,0.6439050698813163,0
21315,4614584,CMH,2010-09-22,-2.0,0.0,9.8625,1.8232503824,1.646217979599999,0.6439050698813163,0
21316,4614713,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21317,4614797,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21318,4614803,CMH,2010-09-22,0.0,0.0,9.8625,0.6283725781,1.646217979599999,0.6439050698813163,0
21319,4615353,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21320,4615357,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21321,4615417,CMH,2010-09-22,6.0,6.0,9.8625,0.9323924539,1.646217979599999,0.6439050698813163,0
